order;Type;IS;PL;EL;area
123;Rockfall;0.305082957520273;0.533375566171118;0.161541476308609;
124;Rockfall;0.330008035749053;0.483908882592548;0.186083081658399;
125;Rockfall;0.305082957520273;0.448060455323148;0.24685658715658;
126;Rockfall;0.269475702907729;0.376437400174318;0.354086896917953;
127;Rockfall;0.23980299073061;0.311098109923821;0.44909889934557;
128;Rockfall;0.184018291837625;0.398608247673714;0.417373460488661;
129;Rockfall;0.184018291837625;0.484951251423468;0.331030456738908;
130;Rockfall;0.218438637963083;0.460545828048259;0.321015533988658;
131;Rockfall;0.422586897741667;0.10047057981149;0.476942522446843;6
132;Rockfall;0.442764342022108;0.0914097505730521;0.46582590740484;6
133;Rockfall;0.505670491837601;0.123686035575838;0.370643472586561;
134;Rockfall;0.601810079291469;0.121871422429129;0.276318498279402;6
135;Rockfall;0.593501719881875;0.201061783964069;0.205436496154056;
136;Rockfall;0.56738973316601;0.245982457277267;0.186627809556723;
137;Rockfall;0.470063237225058;0.288478347837047;0.241458414937895;
138;Rockfall;0.359680747926173;0.415622095611284;0.224697156462543;
139;Rockfall;0.394101094051632;0.388132993530726;0.217765912417642;
140;Rockfall;0.419026172280412;0.360252060889594;0.220721766829993;
141;Rockfall;0.448698884457532;0.33616466868499;0.215136446857479;
142;Rockfall;0.479558505121736;0.32176275125467;0.198678743623594;
143;Rockfall;0.490240681505499;0.330812163687748;0.178947154806753;
144;Rockfall;0.51516575973428;0.299847552341268;0.184986687924453;
146;Rockfall;0.503296674863432;0.379790383705051;0.116912941431517;
